name,type,furigana,img,no,access,time,holiday,tell,tell2,URL,ido,keido,rink,
b-cafe,喫茶店,は,./images/mise/10.jpg,427-0022,島田市本通1丁目9-10,10:00～17:00,水曜日,0547-35-6538,0547356539,,34.83317,138.173433,http://maps.google.com/maps?daddr=34.83177,138.173433&saddr=%E7%8F%BE%E5%9C%A8%E5%9C%B0&dirflg=d&t=m
Cafe Zeal,喫茶店,か,./images/mise/3.jpg,427-0022,島田市本通4-7937-2,土曜 11:30～22:00日曜 10:30～18:00,火曜日,0547-33-6686,0547336687,http://shimada-eh.appspot.com/detail/agxzfnNoaW1hZGEtZWhyCwsSBFNob3AY_VAM,34.833317,138.176949,http://maps.google.com/maps?daddr=34.832495,138.177188&saddr=%E7%8F%BE%E5%9C%A8%E5%9C%B0&dirflg=d&t=m
din/g.Place（ダインプレイス）,喫茶店,た,./images/mise/6.jpg,427-0022,島田市本通1-1-10,10:00～18:00 土・日・祝 8:30～18:00,月曜日,0547-35-5005,0547355006,http://ding.place.teimu.com/,34.833014,138.17313,http://maps.google.com/maps?daddr=34.833014,138.17313&saddr=%E7%8F%BE%E5%9C%A8%E5%9C%B0&dirflg=d&t=m
mister Donut アピタ島田ショップ,洋菓子,ま,./images/mise/34.jpg,427-0129,島田市宝来町8-2（アピタ島田店1F）,9:00～21:00,,0547-35-7007,0547357008,http://md.mapion.co.jp/b/misterdonut/info/0593/,34.827517,138.184826,http://maps.google.com/maps?daddr=34.827517,138.184826&saddr=%E7%8F%BE%E5%9C%A8%E5%9C%B0&dirflg=d&t=m
Patisserie OUBLIE,洋菓子,は,./images/mise/29.jpg,427-0119,島田市井口1481,10:00～20:00,水曜日・第三火曜日,0547-38-5660,0547385661,,34.792297,138.238847,http://maps.google.com/maps?daddr=34.792297,138.238847&saddr=%E7%8F%BE%E5%9C%A8%E5%9C%B0&dirflg=d&t=m
This is Cafe 新金谷駅店,喫茶店,た,./images/mise/9.jpg,428-0013,島田市金谷東2丁目112-2,9:00～17:00,,0547-46-5810,0547465811,http://www.this-is-cafe.com/shinkanaya/index.html,34.826686,138.137015,http://maps.google.com/maps?daddr=34.859191,138.27354&saddr=%E7%8F%BE%E5%9C%A8%E5%9C%B0&dirflg=d&t=m
あつみや,洋菓子,あ,./images/mise/20.jpg,427-0019,島田市道悦4-5-11,9:30～19:00,日曜日・第二月曜日,0547-37-1515,0547371516,,34.835741,138.205855,http://maps.google.com/maps?daddr=34.835741,138.205855&saddr=%E7%8F%BE%E5%9C%A8%E5%9C%B0&dirflg=d&t=m
おほつ庵,和菓子,あ,./images/mise/38.jpg,427-0047,島田市中溝町2428-2,8:00～18:00,水曜日,0547-37-5448,0547375449,http://otsuan.com/index.html,34.836436,138.168864,http://maps.google.com/maps?daddr=34.836436,138.168864&saddr=%E7%8F%BE%E5%9C%A8%E5%9C%B0&dirflg=d&t=m
お茶のさすき園,その他,あ,./images/mise/12.jpg,427-0104,島田市坂本938-1,9:00～19:00（日曜9：00～18：00),,0547-38-2107,0547382108,http://sasuki.jp/store/shimada,34.813141,138.216157,http://maps.google.com/maps?daddr=34.813141,138.216157&saddr=%E7%8F%BE%E5%9C%A8%E5%9C%B0&dirflg=d&t=m
かしはる島田店,和菓子,か,./images/mise/40.jpg,427-0041,島田市中河町285-15,10:00～19:00,,0547-36-7273,0547367274,http://www.kashiharu.com/acce06.html,34.841119,138.179371,http://maps.google.com/maps?daddr=34.841119,138.179371&saddr=%E7%8F%BE%E5%9C%A8%E5%9C%B0&dirflg=d&t=m
ケーキ工房リモージュ,洋菓子,か,./images/mise/22.jpg,427-0011,島田市東町1383-2,9:30～20:00,火曜日,0547-36-9522,0547369523,http://www.limoges-web.com/,34.835678,138.228408,http://maps.google.com/maps?daddr=34.835678,138.228408&saddr=%E7%8F%BE%E5%9C%A8%E5%9C%B0&dirflg=d&t=m
ごはん cafe美・菜・健 かりん,喫茶店,か,./images/mise/4.jpg,427-0047,島田市中溝町1632-9,11:30～17:00,,0547-36-7711,0547367712,http://shizuoka.j47.jp/karin/,34.838691,138.167395,http://maps.google.com/maps?daddr=34.838691,138.167395&saddr=%E7%8F%BE%E5%9C%A8%E5%9C%B0&dirflg=d&t=m
コロリ,洋菓子,か,./images/mise/23.jpg,427-0013,島田市御請1026-4,10:00～20:00,月曜日,0547-54-4795,0547544796,http://www.colori-cake.jp/,34.8363,138.211862,http://maps.google.com/maps?daddr=34.836292,138.211948&saddr=%E7%8F%BE%E5%9C%A8%E5%9C%B0&dirflg=d&t=m
サーティーワンアイスクリーム 島田アピタ店,洋菓子,さ,./images/mise/24.jpg,427-0016,島田市宝来町8-2（アピタ島田店1F）,,,0547-36-8131,0547368132,,34.82777,138.184955,http://maps.google.com/maps?daddr=34.82777,138.184955&saddr=%E7%8F%BE%E5%9C%A8%E5%9C%B0&dirflg=d&t=m
サリー・ラン,喫茶店,さ,./images/mise/5.jpg,427-0047,島田市中溝町1489-1,9:30～18:30（日曜祝日9:30～18:00）,火曜日・第三月曜日,0547-36-9097,0547369098,,34.843504,138.164059,http://maps.google.com/maps?daddr=34.843504,138.164059&saddr=%E7%8F%BE%E5%9C%A8%E5%9C%B0&dirflg=d&t=m
シェスタ（siesta）,パン屋,さ,./images/mise/19.jpg,427-0104,島田市坂本1304-14,8:00～18:00,月曜日,0547-38-7575,0547387576,http://crouton-rusk.com,34.93061,138.141107,http://maps.google.com/maps?daddr=34.805267,138.223284&saddr=%E7%8F%BE%E5%9C%A8%E5%9C%B0&dirflg=d&t=m
シャトレーゼ島田店,洋菓子,さ,./images/mise/26.jpg,427-0047,島田市中溝町2418?5,,,0547-36-7737,0547367738,,34.837858,138.168278,http://maps.google.com/maps?daddr=34.837858,138.168278&saddr=%E7%8F%BE%E5%9C%A8%E5%9C%B0&dirflg=d&t=m
シュエット,洋菓子,さ,./images/mise/25.jpg,427-0022,島田市本通4丁目2?3,10:00～19:00,月曜日,0547-34-4883,0547344884,http://shimadachouette.com/,34.832875,138.176891,http://maps.google.com/maps?daddr=34.832987,138.176947&saddr=%E7%8F%BE%E5%9C%A8%E5%9C%B0&dirflg=d&t=m
スガキヤ 島田アピタ店,その他,さ,./images/mise/13.jpg,427-0016,島田市宝来町8-2（アピタ島田店2F）,10:00～ラストオーダー20:00,,0547-37-9022,0547379023,http://www.sugakico.co.jp/,34.82777,138.184955,http://maps.google.com/maps?daddr=34.82777,138.184955&saddr=%E7%8F%BE%E5%9C%A8%E5%9C%B0&dirflg=d&t=m
すわはら,和菓子,さ,./images/mise/44.jpg,428-0037,島田市菊川1190,11:00～17:00,火曜日・水曜日・木曜日,0547-46-5108,0547465109,,34.8160122,138.1187,http://maps.google.com/maps?daddr=34.816012,138.1187&saddr=%E7%8F%BE%E5%9C%A8%E5%9C%B0&dirflg=d&t=m
せいか堂,和洋菓子,さ,./images/mise/60.jpg,427-0024,島田市横井4丁目10?5,,,0547-37-3703,0547373704,,34.828178,138.175852,http://maps.google.com/maps?daddr=34.828178,138.175852&saddr=%E7%8F%BE%E5%9C%A8%E5%9C%B0&dirflg=d&t=m
たいやきや,和菓子,た,./images/mise/47.jpg,427-0108,島田市川根町家山668-3,10:30～15:30,木曜・第3日曜,0547-53-2275,0547532276,,34.942066,138.07622,http://maps.google.com/maps?daddr=34.942066,138.07622&saddr=%E7%8F%BE%E5%9C%A8%E5%9C%B0&dirflg=d&t=m
たいやき屋 初倉店,和菓子,た,./images/mise/46.jpg,427-0107,島田市船木328-12,10:30～18:00,月曜日,0547-38-1161,0547381162,,34.800701,138.226417,http://maps.google.com/maps?daddr=34.800701,138.226417&saddr=%E7%8F%BE%E5%9C%A8%E5%9C%B0&dirflg=d&t=m
たこまん 島田初倉店,和洋菓子,た,./images/mise/61.jpg,427-0109,島田市井口842,9：00～19：00,,0547-38-5688,0547385689,http://www.takoman.co.jp/,34.797669,138.230558,http://maps.google.com/maps?daddr=34.797669,138.230558&saddr=%E7%8F%BE%E5%9C%A8%E5%9C%B0&dirflg=d&t=m
たぬき屋餅店,その他,た,./images/mise/14.jpg,427-0022,島田市本通6丁目7823?2,,,0547-37-2430,0547372431,,34.832172,138.179946,http://maps.google.com/maps?daddr=34.832172,138.179946&saddr=%E7%8F%BE%E5%9C%A8%E5%9C%B0&dirflg=d&t=m
たまごのおうち,洋菓子,た,./images/mise/27.jpg,427-0038,島田市稲荷4丁目1?10,9:00～19:00,土曜日・日曜日・祝日,0547-35-4500,0547354501,,34.833878,138.16124,http://maps.google.com/maps?daddr=34.833878,138.16124&saddr=%E7%8F%BE%E5%9C%A8%E5%9C%B0&dirflg=d&t=m
ダルマチェーン島田店,その他,た,./images/mise/15.jpg,427-0110,島田市元島田246-14,,,0547-37-2511,0547372512,,34.841313,138.180846,http://maps.google.com/maps?daddr=34.841313,138.180846&saddr=%E7%8F%BE%E5%9C%A8%E5%9C%B0&dirflg=d&t=m
チャールストン,喫茶店,た,./images/mise/8.jpg,427-0112,島田市東町833-2,11:00～20:00（ラストオーダー19:00）,木曜日・第三水曜日,0547-37-1213,0547371214,,34.838347,138.229933,http://maps.google.com/maps?daddr=34.838347,138.229933&saddr=%E7%8F%BE%E5%9C%A8%E5%9C%B0&dirflg=d&t=m
どら焼き士房松千,和菓子,た,./images/mise/49.jpg,427-0116,島田市東町1019,10:00～17:30,日曜日・月曜日,090-1237-9821,09012379822,,34.838444,138.230172,http://maps.google.com/maps?daddr=34.838444,138.230172&saddr=%E7%8F%BE%E5%9C%A8%E5%9C%B0&dirflg=d&t=m
パティスリー・トゥール,洋菓子,は,./images/mise/30.jpg,427-0120,島田市阪本1444-6,10:30～20:00,水曜日･第一火曜日,0547-38-5002,0547385003,http://patisserie-tour.com/,34.844385,138.187026,http://maps.google.com/maps?daddr=34.8444182,138.1868774&saddr=%E7%8F%BE%E5%9C%A8%E5%9C%B0&dirflg=d&t=m
